ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
43148179;76.7;23.6;23.7;20.7;20.6;20.5;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.021;-0.049;43147982;0.0173;0;1.3352;0;0.54;204.132;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148231;76.7;23.6;23.7;20.8;20.6;20.5;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.022;-0.049;43148179;0.0173;0;1.3352;0;0.54;204.113;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148266;76.7;23.6;23.6;20.8;20.6;20.5;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.02;-0.049;43148231;0.0173;0;1.3352;0;0.54;204.107;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148326;76.7;23.6;23.6;20.8;20.6;20.6;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.024;-0.049;43148267;0.0173;0;1.3352;0;0.54;204.101;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148370;76.7;23.6;23.7;20.8;20.6;20.5;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.03;-0.049;43148327;0.0173;0;1.3352;0;0.54;204.094;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148419;76.7;23.6;23.6;20.7;20.5;20.5;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.02;-0.049;43148370;0.0173;0;1.3352;0;0.54;204.085;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148451;76.7;23.6;23.6;20.7;20.6;20.6;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.03;-0.05;43148420;0.0173;0;1.3352;0;0.54;204.082;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148470;76.7;23.6;23.6;20.7;20.5;20.6;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.02;-0.049;43148451;0.0173;0;1.3352;0;0.54;204.078;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148528;76.7;23.6;23.6;20.8;20.6;20.5;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.021;-0.049;43148470;0.0173;0;1.3352;0;0.54;204.073;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148539;76.7;23.6;23.6;20.8;20.6;20.6;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.024;-0.049;43148529;0.0173;0;1.3352;0;0.54;204.064;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148571;76.7;23.6;23.6;20.7;20.6;20.6;0;0;0;0;0;-0.003;0.0173;0;1.3352;0;23;95;118.8;0;56;0.025;-0.049;43148539;0.0173;0;1.3352;0;0.54;204.06;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148603;76.7;23.6;23.6;20.8;20.6;20.6;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.026;-0.05;43148571;0.0173;0;1.3352;0;0.54;204.055;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148636;76.7;23.6;23.5;20.8;20.7;20.6;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.017;-0.049;43148603;0.0173;0;1.3352;0;0.54;204.052;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148668;76.7;23.6;23.6;20.7;20.6;20.5;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.026;-0.048;43148636;0.0173;0;1.3352;0;0.54;204.047;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148699;76.7;23.6;23.6;20.8;20.6;20.5;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.027;-0.049;43148668;0.0173;0;1.3352;0;0.54;204.043;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
43148732;76.7;23.6;23.6;20.8;20.6;20.5;0;0;0;0;0;-0.001;0.0173;0;1.3352;0;23;95;118.8;0;56;0.024;-0.049;43148699;0.0173;0;1.3352;0;0.54;204.04;0;0;0;0.161;0.666;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
