ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
44061801;76.7;23.7;23.7;21;20.7;20.6;0;0;0;0;0;0.001;0.0511;0;3.938;0;28;160;1.79999;0;56;0.031;0.044;44061688;0.0511;0;3.938;0;0.537;202.976;0;0;0;0.185;1.062;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
44061885;76.7;23.7;23.7;21;20.7;20.5;0;0;0;0;0;0.001;0.0511;0;3.938;0;28;160;1.79999;0;56;0.033;0.043;44061802;0.0511;0;3.938;0;0.537;202.975;0;0;0;0.185;1.062;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
44061939;76.7;23.7;23.7;21;20.7;20.5;0;0;0;0;0;0.001;0.0511;0;3.938;0;28;160;1.79999;0;56;0.034;0.04;44061885;0.0511;0;3.938;0;0.537;202.973;0;0;0;0.185;1.062;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
44061961;76.7;23.7;23.8;21;20.7;20.5;0;0;0;0;0;0.001;0.0511;0;3.938;0;28;160;1.79999;0;56;0.031;0.043;44061939;0.0511;0;3.938;0;0.537;202.97;0;0;0;0.185;1.062;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
44062001;76.7;23.7;23.7;20.9;20.7;20.5;0;0;0;0;0;0.001;0.0511;0;3.938;0;28;160;1.79999;0;56;0.033;0.044;44061961;0.0511;0;3.938;0;0.537;202.97;0;0;0;0.185;1.062;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
44062034;76.7;23.7;23.7;21;20.7;20.5;0;0;0;0;0;0;0.0511;0;3.938;0;28;160;1.79999;0;56;0.032;0.043;44062001;0.0511;0;3.938;0;0.537;202.97;0;0;0;0.185;1.062;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
44062065;76.7;23.7;23.7;20.9;20.7;20.5;0;0;0;0;0;0.001;0.0511;0;3.938;0;28;160;1.79999;0;56;0.033;0.041;44062035;0.0511;0;3.938;0;0.537;202.97;0;0;0;0.185;1.062;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
44062107;76.7;23.7;23.7;20.9;20.7;20.6;0;0;0;0;0;0.001;0.0511;0;3.938;0;28;160;1.79999;0;56;0.032;0.045;44062066;0.0511;0;3.938;0;0.537;202.97;0;0;0;0.185;1.062;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
44062120;76.7;23.7;23.7;21;20.8;20.5;0;0;0;0;0;0.002;0.0511;0;3.938;0;28;160;1.79999;0;56;0.029;0.05;44062107;0.0511;0;3.938;0;0.537;202.968;0;0;0;0.185;1.062;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
44062148;76.7;23.7;23.7;20.9;20.7;20.6;0;0;0;0;0;0.001;0.0511;0;3.938;0;28;160;1.79999;0;56;0.035;0.041;44062121;0.0511;0;3.938;0;0.537;202.967;0;0;0;0.185;1.062;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
