ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
35282477;76.7;20.8;20.8;18;17.8;19.5;0;0;0;0;0;-0.001;0.0065;0;0.4984;0;6883;6907;181.8;0;56;-0.031;-0.04;35282342;0.0065;0;0.4984;0;0.543;205.188;0;0;0;48.282;48.45;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35282569;76.7;20.8;20.8;18.1;17.9;19.5;0;0;0;0;0;-0.001;0.0065;0;0.4984;0;6883;6907;181.8;0;56;-0.035;-0.034;35282478;0.0065;0;0.4984;0;0.543;205.189;0;0;0;48.282;48.45;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35282588;76.7;20.8;20.8;18;17.8;19.5;0;0;0;0;0;-0.001;0.0065;0;0.4984;0;6883;6907;181.8;0;56;-0.039;-0.027;35282569;0.0065;0;0.4984;0;0.543;205.192;0;0;0;48.282;48.45;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35282621;76.7;20.8;20.8;18.1;17.9;19.4;0;0;0;0;0;-0.001;0.0065;0;0.4984;0;6883;6907;181.8;0;56;-0.029;-0.043;35282589;0.0065;0;0.4984;0;0.543;205.193;0;0;0;48.282;48.45;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35282633;76.7;20.8;20.8;18;17.8;19.4;0;0;0;0;0;0.001;0.0065;0;0.4984;0;6883;6907;181.8;0;56;-0.03;-0.043;35282622;0.0065;0;0.4984;0;0.543;205.194;0;0;0;48.282;48.45;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35282673;76.8;20.8;20.8;18.1;17.9;19.4;0;0;0;0;0;0.002;0.0065;0;0.4984;0;6883;6907;181.8;0;56;-0.04;-0.026;35282634;0.0065;0;0.4984;0;0.543;205.194;0;0;0;48.282;48.45;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35282702;76.7;20.8;20.8;18;17.9;19.4;0;0;0;0;0;0;0.0065;0;0.4984;0;6883;6907;181.8;0;56;-0.03;-0.042;35282674;0.0065;0;0.4984;0;0.543;205.192;0;0;0;48.282;48.45;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35282734;76.8;20.8;20.8;18;17.8;19.4;0;0;0;0;0;-0.001;0.0065;0;0.4984;0;6883;6907;181.8;0;56;-0.028;-0.046;35282703;0.0065;0;0.4984;0;0.543;205.193;0;0;0;48.282;48.45;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35282763;76.7;20.8;20.8;18.1;17.8;19.4;0;0;0;0;0;-0.001;0.0065;0;0.4984;0;6883;6907;181.8;0;56;-0.026;-0.048;35282735;0.0065;0;0.4984;0;0.543;205.193;0;0;0;48.282;48.45;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35282797;76.8;20.8;20.8;18.1;17.9;19.4;0;0;0;0;0;-0.001;0.0065;0;0.4984;0;6883;6907;181.8;0;56;-0.036;-0.031;35282764;0.0065;0;0.4984;0;0.543;205.194;0;0;0;48.282;48.45;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
